model,benchmark,condition,bits,effective_bits,ece_lo,ece,ece_hi,delta_ece_lo,delta_ece,delta_ece_hi,slope_lo,slope,slope_hi,delta_slope_lo,delta_slope,delta_slope_hi,intercept_lo,intercept,intercept_hi,delta_intercept_lo,delta_intercept,delta_intercept_hi,brier_lo,brier,brier_hi,delta_brier_lo,delta_brier,delta_brier_hi
qwen2.5-1.5b,mmlu,affine_b6_g64,6,6.501,0.1723498259752989,0.19528643929958348,0.2264659916765988,-0.029560192598402542,-0.018015735417604428,0.0007154434621333954,0.4140293039831208,0.476585941758628,0.5471878927434847,-0.07015351476245744,-0.03282010962595483,0.0041040514026319955,-1.6314538284651372,-1.4156793551575764,-1.2183864167961844,0.03321357568743379,0.1343128818131527,0.23323001571456153,0.22576520001220998,0.24314691604531688,0.26184986179876396,-0.006388258321606928,-0.0016846783885521577,0.0030245022155507974
qwen2.5-1.5b,mmlu,affine_b5_g64,5,5.501,0.16703780022934078,0.1908749435245991,0.21973844294846054,-0.03781255183741454,-0.022427231192588798,-0.002529811222851286,0.46399635338404543,0.5415914060363273,0.6303634841781206,-0.02410548713344143,0.032185354651744436,0.09362786608188955,-1.4526272732209569,-1.2730225902791412,-1.0843043214613584,0.14474444429574623,0.27696964669158786,0.41143891132034305,0.22309365888285848,0.23973880584849075,0.25646941227700837,-0.012369583992746694,-0.005092788585378288,0.002290147240707781
qwen2.5-1.5b,mmlu,affine_b4_g64,4,4.501,0.17436202974766493,0.20235422641038897,0.2309761138632894,-0.03505218373462562,-0.010947948306798932,0.0140797505035996,0.5108035892927684,0.5938109307600122,0.6853107326151713,0.0016959866039313698,0.0844048793754294,0.16685206763406044,-1.5414004002458808,-1.3518037644048395,-1.1631873824355003,0.009309564290894013,0.19818847256588956,0.38060379602497985,0.22228948096150997,0.23953555202255444,0.2572477291168243,-0.017671761611098083,-0.005296042411314594,0.007807299905751334
qwen2.5-1.5b,mmlu,affine_b3_g64,3,3.501,0.12739951397329574,0.14755513536930084,0.18038987939208748,-0.09410786147713665,-0.06574703934788706,-0.02558375117778782,0.4718232202065622,0.6243869474784953,0.7807800493685949,-0.05242647956049339,0.11498089609391249,0.2783047460938697,-0.8257811650006285,-0.6816135819267861,-0.5512871155421488,0.636588970290725,0.868378655043943,1.1041034526986204,0.24165798861599652,0.2515519412495882,0.2616009845445254,-0.012352237860459633,0.006720346815719147,0.025784814633601244
qwen2.5-1.5b,mmlu,affine_b2_g64,2,2.501,0.45569339107349516,0.48607811447978017,0.5141785923659801,0.23084709779173143,0.2727759397625923,0.3112185929469764,-0.13237854217362816,-0.03870583149616326,0.0530369768520876,-0.672323792350323,-0.5481118828807461,-0.43732807642212407,-3.1974881876881662,-2.9440820687873206,-2.6936845826099685,-1.7164326304547355,-1.3940898318165915,-1.058325759218049,0.44190859844458474,0.4617764093780601,0.48125415657835596,0.18932366304614626,0.21694481494419104,0.24231906267593983
qwen2.5-3b,arc_challenge,bf16,16,16.0,0.12117017621919512,0.1426360113322735,0.16395751724690202,,0.0,,0.3405243717878288,0.3848285299367835,0.4423652497253916,,0.0,,-3.6666505946048953,-3.2187526198514447,-2.768810507713325,,0.0,,0.12906705744353716,0.14765940716463108,0.1666763688083559,,0.0,
qwen2.5-3b,arc_challenge,affine_b8_g64,8,8.501,0.12169958222955465,0.14269071689248086,0.16457081156894562,-0.005479504401981817,5.470556020736872e-05,0.005331794220209143,0.3234304912722336,0.36794947352450746,0.42103221798024576,-0.036584454763792545,-0.01687905641227605,0.0014158365098491834,-3.754169493290425,-3.281696183815655,-2.8199729625788903,-0.17835959074129004,-0.06294356396421019,0.049807590894736235,0.13159769439894245,0.15032502623834046,0.16999029244297975,0.0007264630740158866,0.00266561907370938,0.004646911445377495
qwen2.5-3b,arc_challenge,affine_b6_g64,6,6.501,0.11281092823147776,0.13377409851551053,0.156513263771683,-0.018731483560800483,-0.008861912816762962,0.0017844015292823108,0.3134486780044111,0.3577515741603341,0.41163909063252857,-0.06117188620500768,-0.02707695577644942,0.006496800698558048,-3.4648973947917905,-2.9959038139118555,-2.5538333483632893,-0.014297621133612626,0.22284880593958922,0.46012517775751527,0.12803287038151429,0.1466658699244206,0.16597902048276614,-0.005781693294537262,-0.0009935372402104792,0.00359873164286244
qwen2.5-3b,arc_challenge,affine_b5_g64,5,5.501,0.11843817149326205,0.14026491862535478,0.16196647841781375,-0.01320083053410054,-0.0023710927069187093,0.008624317654222217,0.31682422837340946,0.3617972375127113,0.41649254874979164,-0.06072526767818845,-0.023031292424072203,0.013613992591608195,-3.45371149211241,-3.0053771459120746,-2.5714574494610254,-0.05011673866147832,0.21337547393937006,0.46388259833378204,0.1306422993866906,0.14981966367128335,0.16919789459746964,-0.004476445708824777,0.002160256506652275,0.008669963989374007
qwen2.5-3b,arc_challenge,affine_b4_g64,4,4.501,0.09937674706354735,0.12445986104011537,0.15055880485400558,-0.04513185058832172,-0.01817615029215812,0.009571187827736182,0.580802977306667,0.6973077423617486,0.833399729558509,0.19142454054731303,0.3124792124249651,0.4414532004593363,-1.0241491814788755,-0.8616051411612002,-0.6893397137771775,1.9243200055120828,2.357147478690244,2.8194448652267807,0.17800707750029152,0.19457275694393825,0.2111109494098539,0.02996699733006464,0.04691334977930717,0.06519936005055367
qwen2.5-3b,arc_challenge,affine_b3_g64,3,3.501,0.4036401673056186,0.43389771628379825,0.4631195474319161,0.2533067347772419,0.29126170495152476,0.327768591852486,-0.13859929870400778,-0.01881744870328282,0.0961516000677859,-0.5454788460660729,-0.40364597864006635,-0.2780932202019763,-2.605696399477652,-2.3822997452296053,-2.170610609555362,0.34258524018020975,0.8364528746218394,1.3455317916711271,0.39632396562352745,0.4136652432437396,0.4310351286013104,0.23887560816780862,0.26600583607910855,0.2924352580599671
qwen2.5-3b,arc_challenge,affine_b2_g64,2,2.501,0.22643184638023375,0.2535380827784538,0.2813377681218087,0.07627491088435048,0.1109020714461803,0.14670337908789513,-0.19369655515863385,0.21984411052244549,0.6334624810439728,-0.5897792733641717,-0.16498441941433803,0.25225811287524796,-1.272142855344991,-1.1214317596187322,-0.9818939704952432,1.6229468863474135,2.0973208602327125,2.5644345874054917,0.2594183608127978,0.2650470592207672,0.2704817052957538,0.09692573145597755,0.11738765205613613,0.13632129768967716
qwen2.5-3b,mmlu,bf16,16,16.0,0.21677380301877858,0.243097440302372,0.2711299297370017,,0.0,,0.2665138840706378,0.30702945598569387,0.3527678535147932,,0.0,,-3.1561217367791414,-2.8128658391420163,-2.4971987199913475,,0.0,,0.23515927837987857,0.25704406836829813,0.28015063369941734,,0.0,
qwen2.5-3b,mmlu,affine_b8_g64,8,8.501,0.2228843593902886,0.2494059370160103,0.2768918581582606,-0.0020759827129542387,0.006308496713638312,0.01535357137769467,0.2737299577025698,0.3141678488865922,0.3607902973923423,-0.010873351343714723,0.007138392900898349,0.025313783493724006,-3.2861268068531797,-2.92816808915975,-2.609117012543848,-0.22416935165861976,-0.11530225001773386,-0.007903618664201001,0.23835855124858846,0.2601929755022986,0.28328004677516255,0.0006860048108022238,0.003148907134000456,0.005898622549156844
qwen2.5-3b,mmlu,affine_b6_g64,6,6.501,0.2197871575891972,0.24715292558073995,0.27599528603255746,-0.008842393817007542,0.004055485278367965,0.017770816765725637,0.2672230218156299,0.30931623865957947,0.35660008954134503,-0.024202392598558803,0.002286782673885601,0.028988020992838294,-3.2017681827217097,-2.847304194145194,-2.520203146018789,-0.1959302417193324,-0.03443835500317771,0.1302308292824751,0.23962786958473756,0.2621372235587888,0.2849207861401013,-0.0005285483814981311,0.005093155190490695,0.010997873552827376
qwen2.5-3b,mmlu,affine_b5_g64,5,5.501,0.20692895020321014,0.23343542641401294,0.261766517495364,-0.02657647719308735,-0.00966201388835905,0.007698299103230278,0.25962993196555506,0.3023211414728877,0.3526518184552702,-0.034386356948030196,-0.004708314512806178,0.026272358111163595,-2.870008550273204,-2.5420328270412345,-2.246710435994781,0.05962274955906543,0.2708330121007818,0.4809460309752101,0.22579311985051026,0.24717581151734128,0.2693058508857509,-0.018411498597288422,-0.009868256850956852,-0.000769950618883526
qwen2.5-3b,mmlu,affine_b4_g64,4,4.501,0.16644034866914154,0.19218908482789998,0.2200921537920833,-0.07767746813446279,-0.050908355474472006,-0.021849405904859277,0.442094645666968,0.5245991119811937,0.63073192665669,0.1314254130028544,0.21756965599549982,0.319339601353753,-1.4510681744013818,-1.2645785665091447,-1.0865690630218665,1.238201724735633,1.5482872726328716,1.8830071838024443,0.21860418189623307,0.23625449575357305,0.2535334584515733,-0.03982297710139317,-0.020789572614725083,-0.00324053805699579
qwen2.5-3b,mmlu,affine_b3_g64,3,3.501,0.3917483384616673,0.4218122831285,0.4504284255638718,0.13705055066123606,0.178714842826128,0.22073056594356893,-0.08196348306165023,0.010917392826541555,0.10598960918494962,-0.3984006409012846,-0.2961120631591523,-0.1936302942516024,-2.670447239961392,-2.433066894962213,-2.202500662168543,-0.014808890089073712,0.3797989441798033,0.8078761358306511,0.3878774073079998,0.40611434291175974,0.42333745033403947,0.11816322897899646,0.1490702745434616,0.17853919821286318
qwen2.5-3b,mmlu,affine_b2_g64,2,2.501,0.26525663371533154,0.2919013492763043,0.3206822095692158,0.012169767931848846,0.0488039089739323,0.08879241511449212,-0.4944326562143034,-0.1549090138974033,0.1667611155783572,-0.8084379387372244,-0.46193846988309717,-0.13974393213719502,-1.4949366550871306,-1.3300175615948193,-1.184872780153509,1.1187098183251702,1.482848277547197,1.8470095164617661,0.27372531412905066,0.2807225228245035,0.28746352839776146,0.00025237994989210665,0.023678454456205367,0.04668390793386681
