model,benchmark,condition,mean_conf_incorrect,mean_conf_correct,overconfidence_rate,overconfidence_rate_lo,overconfidence_rate_hi,overconfidence_rate_n_qualifying,delta_intercept_lo,delta_intercept,delta_intercept_hi,delta_conf_incorrect_lo,delta_conf_incorrect,delta_conf_incorrect_hi
qwen2.5-1.5b,arc_challenge,affine_b2_g64,0.7374910899492167,0.7569594531029952,0.7562724014336918,0.7077451245937161,0.8060252745599519,279,-1.832001489225693,-1.4652095085093788,-1.0868179390831216,-0.06845125662544599,-0.04217288232203287,-0.016045320590107673
qwen2.5-1.5b,arc_challenge,affine_b4_g32,0.7771040258008682,0.939175264190376,0.13904494382022473,0.11317586162239165,0.16430741630538556,712,-0.5131044952296724,-0.26787884697282105,-0.03287162582565785,-0.02752120800386767,-0.00255994647038138,0.023027661238605644
qwen2.5-1.5b,arc_challenge,affine_b4_g128,0.7578674453347387,0.9068573131723311,0.13725490196078433,0.1114611380362592,0.1647873586429725,612,-0.08316076190595675,0.16750416234046028,0.4094310890362551,-0.047654470215482275,-0.021796526936510907,0.005554329128635525
qwen2.5-1.5b,arc_challenge,mxfp4_b4_g32,0.7855657272547194,0.9077978549490099,0.1880064829821718,0.15718407490745445,0.21915867562669886,617,-0.43839710451158503,-0.15459848420523592,0.12795006377489146,-0.021367179337202623,0.005901754983469787,0.032343946549868156
qwen2.5-1.5b,arc_challenge,mixed_2_6,0.7339581730125027,0.7334825758038875,0.7195121951219512,0.659997975708502,0.773117450105042,246,-1.385663320134793,-1.048695871735314,-0.686766849179533,-0.07047442074714869,-0.04570579925874696,-0.020184074112423067
qwen2.5-1.5b,arc_challenge,mixed_3_4,0.553888194582292,0.6517185345969417,0.06976744186046512,0.0,0.15221571906354492,43,0.5356569777288738,0.8245717930175225,1.106280032438104,-0.2501563686901409,-0.22577577768895762,-0.2008659514098428
qwen2.5-1.5b,arc_challenge,mixed_3_6,0.5413224565928999,0.7028126914582518,0.08080808080808081,0.03125,0.13761467889908258,99,0.899063530021856,1.1777472477770914,1.45994975094337,-0.26373688551992414,-0.2383415156783497,-0.21256076738965066
qwen2.5-1.5b,arc_challenge,mixed_4_6,0.7595460286327437,0.9162774868059478,0.13787878787878788,0.11179149914639845,0.1626954899415963,660,0.0007882760936772708,0.21608763511047657,0.41822529683635623,-0.04550784987820933,-0.020117943638505942,0.004105888887308724
qwen2.5-1.5b,mmlu,bf16,0.6812461629892007,0.8617295460504742,0.19863013698630136,0.16179775280898875,0.23799154889462878,438,,0.0,,,0.0,
qwen2.5-1.5b,mmlu,affine_b8_g64,0.6777949686660323,0.8588039128403915,0.19545454545454546,0.1596201353909333,0.23373707774731492,440,-0.03422629947492901,0.026691829595199,0.09061533081204565,-0.008870206787488169,-0.0034511943231684272,0.0021744453608506346
qwen2.5-1.5b,mmlu,affine_b6_g64,0.6755977793818428,0.8474747792400162,0.19134396355353075,0.15476057014734146,0.2309563492063492,439,0.03321357568743379,0.1343128818131527,0.23323001571456153,-0.015278479796015371,-0.005648383607357865,0.004057906141486497
qwen2.5-1.5b,mmlu,affine_b5_g64,0.6630297520132952,0.834687982734881,0.16030534351145037,0.125,0.19851334036780224,393,0.14474444429574623,0.27696964669158786,0.41143891132034305,-0.031678561171587405,-0.01821641097590554,-0.005299110956187208
qwen2.5-1.5b,mmlu,affine_b4_g64,0.6466436984803942,0.838844658353112,0.19109947643979058,0.15364565785040432,0.23545321637426897,382,0.009309564290894013,0.19818847256588956,0.38060379602497985,-0.05313598227267454,-0.03460246450880655,-0.015612339389451505
qwen2.5-1.5b,mmlu,affine_b3_g64,0.515256237089634,0.5960034827888012,0.17857142857142858,0.041666666666666664,0.3333333333333333,28,0.636588970290725,0.868378655043943,1.1041034526986204,-0.18687972929002153,-0.16598992589956674,-0.14552424982546847
qwen2.5-1.5b,mmlu,affine_b2_g64,0.7377846513589223,0.7309585038423538,0.7601476014760148,0.709431677221388,0.8096889040954397,271,-1.7164326304547355,-1.3940898318165915,-1.058325759218049,0.03396099295440917,0.05653848836972164,0.0787266167417989
qwen2.5-1.5b,mmlu,affine_b4_g32,0.6866375655963504,0.8518966554012973,0.23076923076923078,0.19279108006606632,0.2707435219411365,442,-0.2223776865432234,-0.016949662838712465,0.19144518515704478,-0.013783180369667641,0.0053914026071496535,0.02387127103241982
qwen2.5-1.5b,mmlu,affine_b4_g128,0.6514856442477968,0.84011503636837,0.1876675603217158,0.15013387771251593,0.22942847798536445,373,0.001037936060140955,0.20048467889163235,0.4016860578790659,-0.04932683989292493,-0.029760518741403952,-0.008562311189854996
qwen2.5-1.5b,mmlu,mxfp4_b4_g32,0.7331893583057855,0.8463917748750076,0.3392070484581498,0.2955517870167761,0.3834775123078657,454,-0.6815818320416643,-0.4313612968327354,-0.19176620838497818,0.031259333928458775,0.051943195316584756,0.07128950444450172
qwen2.5-1.5b,mmlu,mixed_2_6,0.711618568864651,0.7253523752864065,0.7285067873303167,0.6684178433889602,0.7853881278538812,221,-1.530025044385694,-1.2356452716048947,-0.9365007129286808,0.008465769336109508,0.030372405875450315,0.05226103685007339
qwen2.5-1.5b,mmlu,mixed_3_4,0.5154562530152291,0.6117828408725389,0.0625,0.0,0.16,32,0.5792963959772941,0.8129912833088697,1.0476275860924613,-0.18641878041186513,-0.16578990997397158,-0.14437224534582258
qwen2.5-1.5b,mmlu,mixed_3_6,0.5161066267177917,0.6405712989060119,0.1,0.032773664727657324,0.1818501920614595,60,0.7247227135460929,0.9548274700955801,1.1827017699471676,-0.18567821577068006,-0.16513953627140898,-0.144650131991334
qwen2.5-1.5b,mmlu,mixed_4_6,0.665673985703931,0.8424298342536477,0.1941747572815534,0.15616423670668955,0.23601310350892618,412,-0.03217183605736401,0.1520967752690663,0.32721425359686546,-0.032132141523757464,-0.015572177285269717,0.00036458332715534635
qwen2.5-3b,arc_challenge,bf16,0.8476343536063244,0.9772650884993282,0.1254355400696864,0.10416483918128655,0.1475991831195785,861,,0.0,,,0.0,
qwen2.5-3b,arc_challenge,affine_b8_g64,0.8578645553853776,0.9760217477008241,0.12630359212050984,0.1043766217218052,0.14759725400457666,863,-0.17835959074129004,-0.06294356396421019,0.049807590894736235,-0.0007499947020472574,0.010230201779053205,0.020350077951955734
qwen2.5-3b,arc_challenge,affine_b6_g64,0.8568460745889632,0.9718120137509985,0.1254396248534584,0.10463503945519403,0.14737468671679194,853,-0.014297621133612626,0.22284880593958922,0.46012517775751527,-0.008369376301487399,0.009211720982638782,0.026444310262247302
qwen2.5-3b,arc_challenge,affine_b5_g64,0.858101950046864,0.974065747240494,0.1267605633802817,0.10587924241376927,0.14883843616238174,852,-0.05011673866147832,0.21337547393937006,0.46388259833378204,-0.011020192070036114,0.010467596440539517,0.0320492726557115
qwen2.5-3b,arc_challenge,affine_b4_g64,0.6875179898738861,0.8533577990090405,0.12009803921568628,0.08793835567385622,0.15151700377861746,408,1.9243200055120828,2.357147478690244,2.8194448652267807,-0.1890892328388143,-0.16011636373243832,-0.13218940708637397
qwen2.5-3b,arc_challenge,affine_b3_g64,0.6868814259409427,0.6789782002152674,0.7891566265060241,0.7254901960784313,0.8493321917808218,166,0.34258524018020975,0.8364528746218394,1.3455317916711271,-0.18922650070375419,-0.16075292766538174,-0.1312871192387961
qwen2.5-3b,arc_challenge,affine_b2_g64,0.5199315243812858,0.5259261452662412,,,,0,1.6229468863474135,2.0973208602327125,2.5644345874054917,-0.3529738765455318,-0.3277028292250387,-0.30247782139196716
qwen2.5-3b,arc_challenge,affine_b4_g32,0.8520125288712351,0.9729466365075405,0.12925969447708577,0.10752562556526983,0.1522273432819563,851,-0.11854273455120405,0.3008096055157172,0.6937627055293825,-0.021792786252837714,0.004378175264910689,0.03171797757948936
qwen2.5-3b,arc_challenge,affine_b4_g128,0.7295890550224149,0.9149150873256835,0.10697674418604651,0.0838504667683267,0.13162583648125628,645,1.6479097545086947,2.063120945038076,2.4940168664363633,-0.14925443831036397,-0.11804529858390955,-0.08802667449916991
qwen2.5-3b,arc_challenge,mxfp4_b4_g32,0.8236619710377907,0.9640678688215996,0.14233576642335766,0.11895330636611412,0.16707021791767554,822,-0.013118560866607712,0.4505274700179509,0.8816794255160133,-0.056278334800026225,-0.023972382568533734,0.007904245250670764
qwen2.5-3b,arc_challenge,mixed_2_6,0.49382042925264,0.5035815405528355,,,,0,1.6631714987415824,2.149036907303943,2.628000733709773,-0.3795272593812218,-0.3538139243536844,-0.32861529484364477
qwen2.5-3b,arc_challenge,mixed_3_4,0.6491982270524187,0.6598474905472393,0.7398373983739838,0.6611535229023673,0.8214437046004841,123,0.6335317090565089,1.109389514874914,1.6039314208300848,-0.22765204849576035,-0.19843612655390575,-0.16862497784982977
qwen2.5-3b,arc_challenge,mixed_3_6,0.6865549483447088,0.7338694022460417,0.6523809523809524,0.5885416666666666,0.7156875186622873,210,0.12247139347611602,0.6094021325759473,1.1080028597010698,-0.18814935570854144,-0.16107940526161568,-0.13356950640084997
qwen2.5-3b,arc_challenge,mixed_4_6,0.7240829318186491,0.9159071490912624,0.10526315789473684,0.0819371308617377,0.1305732484076433,627,1.5892462872920339,1.9959402793874292,2.4281172681127785,-0.1527428170887374,-0.12355142178767531,-0.09443256347132263
qwen2.5-3b,mmlu,bf16,0.8081249696843685,0.9348212148435702,0.2365747460087083,0.20523922810914508,0.2693481905974742,689,,0.0,,,0.0,
qwen2.5-3b,mmlu,affine_b8_g64,0.8100445965925852,0.9381337729898248,0.23333333333333334,0.20259844842147254,0.26525482791440236,690,-0.22416935165861976,-0.11530225001773386,-0.007903618664201001,-0.00639927336682383,0.0019196269082166761,0.010338217155580679
qwen2.5-3b,mmlu,affine_b6_g64,0.8168255103341604,0.934979403904717,0.23401162790697674,0.20263994167302438,0.26527719608564304,688,-0.1959302417193324,-0.03443835500317771,0.1302308292824751,-0.0040118962701197695,0.008700540649791866,0.021841053316712423
qwen2.5-3b,mmlu,affine_b5_g64,0.7937749855858939,0.9317141253214616,0.22033898305084745,0.1876855444351366,0.2535455967842469,649,0.05962274955906543,0.2708330121007818,0.4809460309752101,-0.028991083468758887,-0.014349984098474655,0.0005020906714404396
qwen2.5-3b,mmlu,affine_b4_g64,0.6525899609978046,0.8362763507674772,0.19518716577540107,0.1544661390762844,0.23496917050524094,374,1.238201724735633,1.5482872726328716,1.8830071838024443,-0.1787189035051301,-0.1555350086865639,-0.1327795986923832
qwen2.5-3b,mmlu,affine_b3_g64,0.6789596735948493,0.6861126061572071,0.723404255319149,0.6555555555555556,0.7857238349885408,188,-0.014808890089073712,0.3797989441798033,0.8078761358306511,-0.15330646628857814,-0.1291652960895192,-0.1049458334660281
qwen2.5-3b,mmlu,affine_b2_g64,0.5353990051708624,0.5292103444495477,,,,0,1.1187098183251702,1.482848277547197,1.8470095164617661,-0.29430997564273986,-0.27272596451350617,-0.2509846196179788
qwen2.5-3b,mmlu,affine_b4_g32,0.8107312872459751,0.9338722041895474,0.2714285714285714,0.23963826541730224,0.3042269105643543,700,-0.6523043489006152,-0.34109486022962177,-0.02775929890070909,-0.01857372601299338,0.0026063175616065637,0.02365471606496859
qwen2.5-3b,mmlu,affine_b4_g128,0.7333433852330142,0.875022218285783,0.2310838445807771,0.19531790711670596,0.2690073966696402,489,0.7253665141962085,1.0497125386084734,1.380593077660567,-0.09910398186247156,-0.0747815844513543,-0.04965510974647138
qwen2.5-3b,mmlu,mxfp4_b4_g32,0.7562147804343974,0.9097290930186308,0.2425249169435216,0.20744848911086375,0.27652904152698915,602,0.14599979280862047,0.46671663490711257,0.8086447433652092,-0.07469194251170123,-0.05191018924997115,-0.029968886025418657
qwen2.5-3b,mmlu,mixed_2_6,0.4759150419108114,0.4782564209137128,,,,0,1.2999962739650104,1.657411590925907,2.0207750137053617,-0.3532017100999799,-0.3322099277735571,-0.31133443426720225
qwen2.5-3b,mmlu,mixed_3_4,0.6354957639270431,0.6351973685052466,0.7155963302752294,0.6264975791014525,0.796644410203732,109,0.5326080894772103,0.9038557567965351,1.2891344114744963,-0.1958714922412157,-0.17262920575732543,-0.14834081020345538
qwen2.5-3b,mmlu,mixed_3_6,0.6736716848643285,0.6684341125251833,0.774390243902439,0.7083268633540373,0.83704484605087,164,0.012463212783102829,0.40741481835908067,0.8125189050693324,-0.15791965460713445,-0.13445328482004004,-0.11143254640237478
qwen2.5-3b,mmlu,mixed_4_6,0.6835176308752585,0.8905439902989309,0.17943548387096775,0.1447836561472925,0.21276907413563828,496,0.8199084927405486,1.1247467107822118,1.4286598152502594,-0.14692302539895177,-0.12460733880911001,-0.10182557387163187
